,AGE07,EDCL07,MARRIED07,KIDS07,OCCAT107,INCOME07,RISK07,WSAVED07,SPENDMOR07,HHOUSES07,NETWORTH07,Risky2007,Risky2009,Safe2007,Safe2009,RiskTol2007,RiskTol2009,RiskTolChange
12457,45,4,2,0,2,110757.53575,3,3,5,1,788089.81058,235080.666229,190000,171909.209663,284150,0.577608142496846,0.4007170726563324,-0.17689106984051362
12458,45,4,2,0,2,110757.53575,3,3,5,1,812944.15415,239223.05682899998,190000,171909.209663,284150,0.5818639798578177,0.4007170726563324,-0.1811469072014853
12459,45,4,2,0,2,110757.53575,3,3,5,1,793267.79882,240258.654479,190000,171909.209663,284150,0.5829145728746725,0.4007170726563324,-0.18219750021834014
12460,71,3,1,0,3,221515.0715,3,3,2,1,6312174.7877,1346276.94318,500000,354381.515351,510000,0.7916209962245395,0.49504950495049505,-0.2965714912740445
12461,71,3,1,0,3,221515.0715,3,3,2,1,6309067.9948,1346276.94318,500000,351274.722407,510000,0.793069790140654,0.49504950495049505,-0.298020285190159
12462,71,3,1,0,3,221515.0715,3,3,2,1,6529650.2939,1346276.94318,500000,571857.02155,510000,0.7018680488093565,0.49504950495049505,-0.20681854385886145
12463,71,3,1,0,3,221515.0715,3,3,2,1,6381559.8302,1346276.94318,500000,423766.557801,510000,0.7605897495930815,0.49504950495049505,-0.2655402446425864
12464,71,3,1,0,3,221515.0715,3,3,2,1,6320459.5689,1346276.94318,500000,362666.296534,510000,0.7877832989966981,0.49504950495049505,-0.29273379404620303
12465,35,4,1,2,1,133122.03816,2,3,5,1,282511.03854,8284.7811888,8000,7766.9823645,85000,0.5161290322580645,0.08602150537634409,-0.4301075268817204
12466,35,4,1,2,1,133122.03816,2,3,5,1,293281.25408,8284.7811888,8000,7766.9823645,85000,0.5161290322580645,0.08602150537634409,-0.4301075268817204
12467,35,4,1,2,1,134187.01447,2,3,5,1,271844.38276,8284.7811888,8000,7766.9823645,85000,0.5161290322580645,0.08602150537634409,-0.4301075268817204
12468,35,4,1,2,1,133122.03816,2,3,5,1,284271.55454,8284.7811888,8000,7766.9823645,85000,0.5161290322580645,0.08602150537634409,-0.4301075268817204
